icao,iata,name,attr,longitude,latitude,level,city,tyep
ZSQZ,JJN,泉州晋江,国际机场,118.6009449,24.79930433,4D,晋江,军民合用机场
ZPJM,JMJ,澜沧景迈,机场,99.79393284,22.41856973,4C,澜沧,民用运输机场
ZYJM,JMU,佳木斯东郊,国际机场,130.479376,46.85161877,,佳木斯,
ZSJG,JNG,济宁曲阜,机场,116.3589151,35.29825635,4C,济宁,民用运输机场
ZYJZ,JNZ,锦州湾,机场,121.0740147,41.10973208,4C,锦州,民用运输机场
ZYJS,JSJ,建三江湿地,机场,132.674165,47.11788912,4C,建三江,民用运输机场
ZSJH,JUH,池州九华山,机场,117.6974685,30.74391049,4C,池州,民用运输机场
ZSJU,JUZ,衢州,机场,118.9102232,28.96891844,4C,衢州,军民合用机场
ZYJX,JXA,鸡西兴凯湖,机场,131.2073403,45.30110979,,鸡西,
ZUJZ,JZH,九寨黄龙,机场,103.6908594,32.85740655,4D,九寨沟,民用运输机场
ZWKC,KCA,库车龟兹,机场,82.88225043,41.68480828,,库车,
ZUKD,KGT,甘孜康定,机场,101.7429188,30.16088932,4C,康定,民用运输机场
ZWSH,KHG,喀什,国际机场,76.02967401,39.54901575,,喀什,
ZSCN,KHN,南昌昌北,国际机场,115.9112983,28.86800605,4E,南昌,民用运输机场
ZUKJ,KJH,凯里黄平,机场,107.9985863,26.97481233,,凯里,
ZWKN,KJI,布尔津喀纳斯,机场,87.00700973,48.22933184,4C,布尔津,民用运输机场
ZPPP,KMG,昆明长水,国际机场,102.9370974,25.10485426,4F,昆明,民用运输机场
ZSGZ,KOW,赣州黄金,机场,114.7903526,25.8559493,,赣州,
ZWKL,KRL,库尔勒梨城,机场,86.1380804,41.70534824,4D,库尔勒,军民合用机场
ZWKM,KRY,克拉玛依古海,机场,84.96155864,45.47366703,4D,克拉玛依,民用运输机场
ZUGY,KWE,贵阳龙洞堡,国际机场,106.8112494,26.54128196,4E,贵阳,民用运输机场
ZGKL,KWL,桂林两江,国际机场,110.0500992,25.22167507,4E,桂林,民用运输机场
ZSLO,LCX,龙岩冠豸山,机场,116.7581583,25.67810845,4C,连城,民用运输机场
ZYLD,LDS,伊春林都,机场,129.0331187,47.76056809,4C,伊春,民用运输机场
ZBLF,LFQ,临汾尧都,机场,111.6539846,36.13816922,4C,临汾,民用运输机场
ZHGH,LHK,老河口光化,机场,111.7073356,32.39334445,4F,老河口,军用专用机场
ZLLL,LHW,兰州中川,国际机场,103.628914,36.52064353,4E,兰州,民用运输机场
ZULP,LIA,梁平,机场,107.7969793,30.68284698,,梁平,军民合用机场
ZPLJ,LJG,丽江三义,机场,100.2537053,26.68220328,4D,丽江,民用运输机场
ZULB,LLB,黔南荔波,机场,107.9722129,25.45541289,,荔波,
ZGLG,LLF,永州零陵,机场,111.621735,26.34134397,4C,永州,民用运输机场
ZBLL,LLV,吕梁大武,机场,111.1556655,37.69014679,,吕梁,
ZPLC,LNJ,临沧博尚,机场,100.0326863,23.74116577,,临沧,
ZLLN,LNL,陇南成县,机场,105.8074239,33.79220229,,陇南,
ZUPS,LPF,六盘水月照,机场,104.9881895,26.61201389,,六盘水,
ZPMS,LUM,德宏芒市,机场,98.53839032,24.4042742,,芒市,
ZULS,LXA,拉萨贡嘎,国际机场,90.91962116,29.30037001,4E,拉萨,军民合用机场
ZHLY,LYA,洛阳北郊,机场,112.4009114,34.74599803,4D,洛阳,民用运输机场
ZSLG,LYG,连云港花果山,国际机场,118.8854615,34.57623345,4D,连云港,军民合用机场
ZSLY,LYI,临沂启阳,国际机场,118.4242485,35.0518288,4D,临沂,民用运输机场
ZGZH,LZH,柳州白莲,机场,109.4021269,24.21062871,4D,柳州,军民合用机场
ZULZ,LZO,泸州云龙,机场,105.4754959,29.02967965,4C,泸州,军民合用机场
ZUNZ,LZY,林芝米林,机场,94.3428762,29.30660579,4D,林芝,军民合用机场
ZYMD,MDG,牡丹江海浪,国际机场,129.5825144,44.53219219,,牡丹江,
ZUMY,MIG,绵阳南郊,机场,104.750199,31.43210423,4D,绵阳,民用运输机场
ZGMX,MXZ,梅州梅县,机场,116.1442798,24.35348266,,梅州,
ZUNC,NAO,南充高坪,机场,106.1730553,30.79901897,4C,南充,军民合用机场
ZBNY,NAY,北京南苑,机场,116.4006113,39.79052683,4D,北京,军民合用机场
ZYBS,NBS,白山长白山,机场,127.6145487,42.07480062,4D,白山,民用运输机场
ZYQQ,NDG,齐齐哈尔三家子,机场,123.9310587,47.24749236,,齐齐哈尔,
ZSNB,NGB,宁波栎社,国际机场,121.4729233,29.8304251,4E,宁波,民用运输机场
ZUAL,NGQ,阿里昆莎,机场,80.06166546,32.10367307,4D,阿里,民用运输机场
ZSNJ,NKG,南京禄口,国际机场,118.8736202,31.74554661,4F,南京,民用运输机场
ZPNL,NLH,宁蒗泸沽湖,机场,100.7671311,27.54274235,,宁蒗,
ZWNL,NLT,新源那拉提,机场,83.3884385,43.43953985,,新源,
ZGNN,NNG,南宁吴圩,国际机场,108.1826031,22.61118063,4E,南宁,军民合用机场
ZHNY,NNY,南阳姜营,机场,112.6273252,32.98436123,4D,南阳,民用运输机场
ZSNT,NTG,南通兴东,国际机场,120.9868439,32.07490956,,南通,
ZBMZ,NZH,满洲里西郊,机场,117.3446085,49.57472458,4D,满洲里,民用运输机场
ZBZL,NZL,扎兰屯成吉思汗,机场,122.7802295,47.87427433,,扎兰屯,
ZYMH,OHE,漠河古莲,机场,122.4440028,52.92038558,,漠河,
ZBAA,PEK,北京首都,国际机场,116.5974148,40.08686079,4F,北京,民用运输机场
ZBAD,PKX,北京大兴,国际机场,116.423561,39.51751551,4F,北京,民用运输机场
ZSPD,PVG,上海浦东,国际机场,121.8157119,31.14761741,4F,上海,民用运输机场
ZUZH,PZI,攀枝花保安营,机场,101.80661,26.54227126,4C,攀枝花,民用运输机场
ZWSC,QSZ,莎车叶尔羌,机场,77.08475932,38.28698052,,莎车,
ZBAR,RHT,阿拉善右旗巴丹吉林,机场,101.5544137,39.23160947,,阿拉善右旗,
ZSRZ,RIZ,日照山字河,机场,119.3367005,35.41059225,4C,日照,民用运输机场
ZURK,RKZ,日喀则和平,机场,89.32023463,29.35488187,,日喀则,
ZBYZ,RLK,巴彦淖尔天吉泰,机场,107.7479454,40.9328189,4C,巴彦淖尔,民用运输机场
ZSSS,SHA,上海虹桥,国际机场,121.3470134,31.202149,4E,上海,民用运输机场
ZYTX,SHE,沈阳桃仙,国际机场,123.4953767,41.64843134,4E,沈阳,民用运输机场
ZWHZ,SHF,石河子花园,机场,85.89937961,44.24903412,,石河子,
ZHJZ,SHS,荆州沙市,机场,112.4552765,30.29983116,4C,荆州,民用运输机场
ZLSN,SIA,西安西关,机场,109.1317617,34.38126683,,,
ZBSJ,SJW,石家庄正定,国际机场,114.7093965,38.28750179,4E,石家庄,民用运输机场
